"","subtype","ACTR3B","ANLN","BAG1","BCL2","BIRC5","BLVRA","CCNB1","CCNE1","CDC20","CDC6","CDCA1","CDH3","CENPF","CEP55","CXXC5","EGFR","ERBB2","ESR1","EXO1","FGFR4","FOXA1","FOXC1","GPR160","GRB7","KIF2C","KNTC2","KRT14","KRT17","KRT5","MAPT","MDM2","MELK","MIA","MKI67","MLPH","MMP11","MYBL2","MYC","NAT1","ORC6L","PGR","PHGDH","PTTG1","RRM2","SFRP1","SLC39A6","TMEM45B","TYMS","UBE2C","UBE2T"
"H1AUNC.1448.C","Basal",1.065,-2.619,0.489,3.885,-2.486,0.161,-1.727,-0.35,-1.592,-1.69,-1.121,1.324,-1.564,-1.25,-0.56,0.484,0.895,-1.822,-0.988,-1.867,-3.259,2.95,-0.324,0.988,-1.457,-1.027,1.251,3.712,1.209,-0.236,0.276,-0.398,1.743,-1.087,0.979,2.943,-0.956,-2.106,1.475,-2.663,-0.174,-1.03,-1.247,-1.237,0.096,-2.166,-2.925,-2.02,-0.932,"-1.015"
"H1AUNC.1450.C","Basal",1.382,-1.078,0.058,0.322,0.543,-1.514,-0.112,1.175,0.005,-1.797,-0.056,2.773,0.315,-0.7,-0.382,-0.566,-0.444,-1.919,0.246,-1.134,-3.86,2.85,-1.139,0.45,-0.514,-0.579,0.652,-1.283,-1.02,-0.077,-0.021,0.427,-0.598,-0.618,0.323,2.485,0.031,0.489,0.123,-2.29,-0.863,1.482,-0.574,-0.603,-0.103,-1.68,-3.711,-2.12,0.279,"0.119"
"H1AUNC.1463.C","Basal",-2.036,-1.102,-0.838,0.536,-1.059,0.509,-0.812,-0.483,-0.187,0.924,-1.426,3.084,-0.777,0.46,-0.89,0.663,0.093,-3.45,-0.796,-2.252,-1.489,2.84,0.925,0.037,-0.759,-0.467,0.356,-0.117,-1.308,-0.337,-0.011,-0.235,3.139,-0.634,0.211,3.445,-0.834,-0.841,0.134,-1.46,0.825,-0.893,-0.512,-2.062,0.627,-2.113,-3.603,-1.6,-0.776,"-1.218"
"H1AUNC.1469.C","Basal",-0.057,0.56,-2.602,0.613,-0.722,-0.096,-0.826,-0.425,-0.54,-0.686,-0.701,-0.564,-0.452,-0.11,-2.038,-0.097,0.676,-4.903,0.086,-1.677,-0.634,1.41,-0.17,0.958,-1.611,0.193,-0.774,-3.207,-1.264,0.112,0.334,-1.186,4.789,-0.788,0.728,0.799,-0.284,-2.01,0.018,-1.531,0.081,-0.602,-0.187,-0.999,4.048,-0.826,1.147,-0.16,0.013,"0.703"
"H1AUNC.1477.C","Basal",0.962,-1.455,0.161,1.072,-1.697,-0.305,-1.983,0.098,-0.595,-2.306,-1.081,3.297,-0.368,-0.72,-1.269,-0.241,0.818,-3.928,-1.123,-2.28,-3.967,2.5,-1.103,0.894,-1.243,-0.865,3.081,1.329,1.325,-0.168,0.208,-0.262,3.399,-2.904,0.505,3.786,-0.425,-0.022,0.931,-1.825,-0.059,-0.387,-1.592,-1.996,1.308,-2.855,-4.344,-3.13,0.636,"-0.751"
"H1AUNC.1525.C","Basal",1.007,-1.94,0.734,0.532,-0.546,-0.861,-2.786,-0.424,-1.223,-1.714,-1.089,-0.443,-1.414,-2.05,-1.25,0.429,-0.277,-4.141,-0.763,-2.176,-2.681,3.64,-0.931,0.5,-1.654,-1.163,-0.618,-0.802,-0.86,-0.345,0.14,0.535,4.906,-1.264,0.921,4.019,-0.823,-1.213,-0.596,-1.319,1.228,0.026,-2.454,-2.691,-1.221,-1.623,-3.893,-0.79,-0.194,"-1.202"
"H1A7411.0114.C","Her2",-1.047,-0.986,-1.07,0.943,-0.479,0.149,-1.159,0.344,0.286,-0.523,-1.567,2.593,-0.598,-0.89,-0.841,0.027,1.582,-3.185,-0.687,0.544,1.547,-0.71,0.055,0.418,-0.283,-0.659,0.164,0.606,0.091,-0.064,0.814,-1.086,-2.31,0.522,1.165,3.85,-0.459,-2.655,-0.065,-1.41,-0.334,0.207,-0.67,-1.292,-1.513,-3.085,-0.097,-1.2,-0.429,"-0.392"
"H1A9529.0044C","Her2",-0.879,-1.412,-1.417,0.708,-0.773,0.299,-1.058,-0.103,-0.797,-1.543,-0.553,0.331,-0.782,-1.15,1.186,-0.548,1.152,0.992,-1.043,0.03,1.428,-0.55,-1.134,0.518,-0.884,-1.631,-0.42,-0.09,-0.953,0.187,0.167,-1.034,-2.261,-0.873,0.604,2.63,-1.586,-2.271,-0.147,-1.161,0.774,-1.129,-1.148,-1.729,-1.784,-2.326,-3.274,-3.13,-0.09,"-0.614"
"H1A9529.0045C","Her2",-0.574,-2.443,0.05,0.822,-2.926,0.038,-2.046,-0.67,-1.26,0.658,-1.984,1.457,-1.179,-1.05,0.304,-0.379,6.085,-2.325,-1.806,-1.142,2.116,-1.33,1.903,3.691,-1.73,-2.131,0.249,-0.274,-0.24,0.088,0.293,-1.474,-1.223,-1.59,0.839,3.771,-1.656,-1.595,-0.707,-1.528,0.768,-1.428,-2.127,-2.333,-1.513,-2.309,0.439,-3.98,-0.89,"-1.955"
"H1A9529.0064C","Her2",-1.508,-1.736,-0.107,0.812,1.076,0.028,-1.863,0.151,-0.936,-2.903,-1.828,2.048,-1.352,-2.26,0.247,-0.236,6.312,-3.393,-1.787,-1.185,0.449,-1.12,-0.3,3.087,-0.587,-1.35,0.119,-1.085,-1.031,-0.41,0.058,-1.297,-0.352,-2.765,0.697,4.658,-0.269,-2.874,-0.613,-2.257,-0.183,-1.103,-1.138,-1.68,-1.611,-3.255,-0.143,-3.27,-0.858,"-1.655"
"H1AUNC.1072.C","Her2",-0.897,-1.834,-0.311,0.936,-1.055,-0.153,-2.705,-0.752,-1.626,-2.39,-2.093,1.67,-1.845,-2.43,-0.674,0.634,6.303,-3.085,-1.776,-2.378,0.921,-0.7,-0.227,2.584,-1.961,-1.921,-0.481,0.595,-1.177,0.062,0.118,-1.485,-0.478,-2.184,1.052,4.244,-1.36,-2.964,0.295,-2.336,0.272,-2.269,-2.934,-2.126,-1.359,-2.453,1.136,-2.45,-1.524,"-1.849"
"H1AUNC.1118C","Her2",0.203,-1.602,-0.853,0.283,-1.899,0.344,-2.115,0.669,-0.572,-0.892,-1.133,1.303,-1.572,-0.12,-2.62,-0.001,1.691,-3.736,-2.281,-1.844,1.423,-0.26,0.963,1.229,-2.003,0.436,-0.529,0.544,0.215,0.167,0.253,-1.528,-2.483,-0.878,0.412,1.858,-1.445,-1.136,0.168,-1.244,0.796,-3.388,-1.875,-0.027,-2.535,-2.558,1.22,-0.11,-1.242,"-0.328"
"H1AUNC..1134.C","Her2",0.138,-2.681,0.497,0.385,0.917,1.098,-1.02,0.638,-0.56,-1.309,-2.327,0.851,-2.518,-1.18,-0.664,2.726,1.56,-3.013,-1.408,-1.758,1.341,-2.19,2.083,0.687,-1.704,-2.153,0.497,-0.389,-0.877,-0.223,-0.232,-0.582,-0.46,-2.37,0.585,2.766,-0.788,-1.904,0.807,0.107,-0.387,-0.58,-1.057,0.325,-0.524,-2.307,2.278,-2.02,-0.134,"0.063"
"H1AUNC.11481.C","Her2",-1.53,-3.026,-1.296,0.53,-0.305,0.714,-2.575,-1.614,-2.722,-3.298,-3.353,0.904,-3.219,-2.06,-1.845,0.953,1.448,-0.411,-2.517,-2.082,2.608,-1.75,1.858,0.711,-3.146,-2.881,0.836,0.138,-0.614,-0.354,0.495,-2.636,0.44,-2.487,1.057,4.808,-3.056,-2.651,1.158,-3.758,0.825,-3.841,-2.406,-2.316,-0.153,-1.578,2.45,-3.65,-1.974,"-1.983"
"H1AUNC.11483.C","Her2",-0.961,-1.808,-0.116,0.562,-1.225,0.379,-1.687,-0.997,-1.921,-1.824,-1.287,0.358,-2.154,-0.62,0.62,-0.529,2.464,2.343,-2.873,-2.461,2.008,-2.24,2.26,1.374,-2.156,-1.334,0.055,-0.959,-1.337,-0.896,1.015,-3.011,-1.436,-1.924,1.141,5.107,-1.476,-3.198,1.643,-2.916,0.371,-1.254,-1.763,-2.049,-0.585,1.957,0.286,-1.54,0.134,"-0.776"
"H1AUNC.1207C","Her2",-0.574,-1.674,0.136,-0.227,-1.684,1.28,-2.498,0.192,-2.018,-2.06,-2.192,0.15,-2.069,-0.61,-0.21,0.213,5.633,-2.137,-1.257,1.295,2.566,-1.59,3.003,2.384,-2.944,-2.367,0.005,-2.544,-1.404,-0.305,-0.122,-0.646,-1.323,-1.686,0.057,2.495,-1.54,-3.599,1.233,-2.489,-0.037,-2.807,-1.604,-0.279,-0.753,-2.476,1.929,-2.37,-1.256,"-0.924"
